Column1;duration;id;index;location;match_id;minute;off_camera;pass_aerial_won;pass_angle;pass_assisted_shot_id;pass_body_part;pass_cross;pass_end_location;pass_goal_assist;pass_height;pass_inswinging;pass_length;pass_no_touch;pass_outcome;pass_outswinging;pass_recipient;pass_shot_assist;pass_switch;pass_technique;pass_type;period;play_pattern;player;player_id;position;possession;possession_team;possession_team_id;related_events;second;team;team_id;timestamp;type;under_pressure;x;y;pass_end_x;pass_end_y
163;2,092288;47ab88d4-0c73-46d1-af36-73c81dda74c7;575;[47.8, 7.5];3893818;18;;;1,1602901;;Head;;[56.2, 26.8];;High Pass;;21,048754;;Incomplete;;Lady Patricia Andrade Rodríguez;;;;Recovery;1;From Throw In;Manuela Vanegas Cataño;49945;Left Back;29;Germany Women's;857;['3b3f40b0-aa92-4c4c-b708-745dfc21203a', '54eed3f2-1b4c-4838-b886-e19b35fc4cfe', 'f996bd44-4a14-42a1-87ae-f4909d996203'];13;Colombia Women's;16802;12:18:13 a. m.;Pass;;47,8;7,5;56,2;26,8
167;1,179815;6171be6f-082d-4d6b-88c5-747d0f5ed954;588;[53.1, 68.8];3893818;18;;;-0,62682605;;Right Foot;;[80.3, 49.1];;Low Pass;;33,58467;;Incomplete;;Mayra Tatiana Ramírez Ramírez;;;;;1;From Throw In;Carolina Arias Vidal;403283;Right Back;29;Germany Women's;857;['8ab38ae6-d1e2-4f15-bc88-ebd382dfebde', 'c6d5b23c-9253-46b4-aeb9-1fd6cc031d8a'];22;Colombia Women's;16802;12:18:22 a. m.;Pass;;53,1;68,8;80,3;49,1
169;1,861046;cb7db719-6180-4abd-828f-1c625683d63c;592;[55.4, 47.4];3893818;18;;;1,5887585;;Head;;[55.1, 64.1];;High Pass;;16,702694;;Incomplete;;Carolina Arias Vidal;;;;Recovery;1;From Throw In;Lorena Bedoya Durango;49904;Right Defensive Midfield;29;Germany Women's;857;['6e64ff01-b56e-4c75-9716-aee1884621dd', 'c6d5b23c-9253-46b4-aeb9-1fd6cc031d8a', 'ef58e42c-1f18-401d-85b4-7435735bbda5'];25;Colombia Women's;16802;12:18:26 a. m.;Pass;;55,4;47,4;55,1;64,1
178;1,514937;8a86fd69-616c-4d20-8937-e60f3b710cf5;623;[73.0, 59.7];3893818;18;;;-1,8377714;;Right Foot;;[69.8, 48.0];;Ground Pass;;12,129716;;;;Daniela Montoya Quiróz;;;;;1;Regular Play;Lady Patricia Andrade Rodríguez;49888;Right Wing;30;Colombia Women's;16802;['ea10bee1-cd9d-4714-8697-c5636007a8fc'];51;Colombia Women's;16802;12:18:51 a. m.;Pass;;73;59,7;69,8;48
179;0,998954;0c86388e-89a4-400d-9b20-908efa4c71a3;626;[69.8, 48.0];3893818;18;;;-0,38050637;;Left Foot;;[83.8, 42.4];;Ground Pass;;15,078462;;;;María Catalina Usme Pineda;;;;;1;Regular Play;Daniela Montoya Quiróz;403282;Left Defensive Midfield;30;Colombia Women's;16802;['3f1bdfe5-aed7-4f09-8b13-5a53f8493c34'];52;Colombia Women's;16802;12:18:53 a. m.;Pass;;69,8;48;83,8;42,4
180;1,779444;9aae2910-7e3c-41fe-9e53-464294833de7;628;[83.8, 42.4];3893818;18;;;-0,21803483;;No Touch;;[100.5, 38.7];;Ground Pass;;17,10497;VERDADERO;Incomplete;;Mayra Tatiana Ramírez Ramírez;;;;;1;Regular Play;María Catalina Usme Pineda;403278;Center Attacking Midfield;30;Colombia Women's;16802;['ca7993f8-f61c-4069-a0be-8cf7d7f057c2', 'f8601587-5540-430c-96ed-43ea580a996b'];53;Colombia Women's;16802;12:18:54 a. m.;Pass;;83,8;42,4;100,5;38,7
191;0,589799;e3dd2c09-34de-42ca-8e79-8f67e3eddc1f;667;[55.4, 63.0];3893818;19;;;-0,31779802;;Right Foot;;[63.0, 60.5];;Ground Pass;;8,000625;;;;Lady Patricia Andrade Rodríguez;;;;Recovery;1;Regular Play;Carolina Arias Vidal;403283;Right Back;33;Colombia Women's;16802;['c13237e3-6eb5-4e2b-8822-ac15494511c9'];49;Colombia Women's;16802;12:19:50 a. m.;Pass;;55,4;63;63;60,5
192;0,805158;b79e302c-a45d-4dc2-b064-3e2258387f26;670;[63.0, 60.5];3893818;19;;;3,0906165;;Right Foot;;[53.2, 61.0];;Ground Pass;;9,812747;;;;Lorena Bedoya Durango;;;;;1;Regular Play;Lady Patricia Andrade Rodríguez;49888;Right Wing;33;Colombia Women's;16802;['329537b5-243a-4f42-9ca7-6b41762a98a6'];50;Colombia Women's;16802;12:19:51 a. m.;Pass;;63;60,5;53,2;61
193;0,209202;d344f323-1959-4e84-9ae0-60b31cc98c75;673;[52.9, 62.7];3893818;19;;;-0,10379234;;Right Foot;;[57.7, 62.2];;Low Pass;;4,8259716;;Incomplete;;;;;;;1;Regular Play;Lorena Bedoya Durango;49904;Right Defensive Midfield;33;Colombia Women's;16802;['558e3a70-70db-4c29-bec6-b406fdd7c868', 'b3913fa0-631f-42f4-89a7-d15fcafb9990'];51;Colombia Women's;16802;12:19:52 a. m.;Pass;VERDADERO;52,9;62,7;57,7;62,2
203;0,931167;5c33c6bb-c844-4ec1-b991-1a58de1404dd;706;[51.0, 19.4];3893818;20;;VERDADERO;0,6937636;;;;[61.1, 27.8];;High Pass;;13,13659;;Incomplete;;Lorena Bedoya Durango;;;;Recovery;1;Regular Play;Manuela Vanegas Cataño;49945;Left Back;34;Germany Women's;857;['37941138-82ae-4634-97e8-0bd2956c5961', '3f6ba283-5800-41ef-b824-b6ae21a8e979', '8af36b66-1caf-4e84-b978-b08d426dc29c', 'd037ef20-9b34-494b-97a2-ae7f6656a3bb'];19;Colombia Women's;16802;12:20:20 a. m.;Pass;VERDADERO;51;19,4;61,1;27,8
205;0,864491;697809a2-b55a-4169-b1ba-dcedfdfde356;717;[24.3, 49.8];3893818;20;;;0,98279375;;Right Foot;;[29.7, 57.9];;Ground Pass;;9,734988;;;;Lady Patricia Andrade Rodríguez;;;;;1;Regular Play;Lorena Bedoya Durango;49904;Right Defensive Midfield;34;Germany Women's;857;['3d3b91d3-7999-41f8-8dea-488dceee9665'];30;Colombia Women's;16802;12:20:31 a. m.;Pass;;24,3;49,8;29,7;57,9
